First Index,Content Function Ratio,Lexical Frequency,Word Length
2,-0.3333333333333333,-3.1022681823069482,4.333333333333333
1,-0.3333333333333333,-2.738228327352537,4.333333333333333
1,-0.3333333333333333,-2.5274816598104297,2.6666666666666665
1,-0.3333333333333333,-3.199304238011313,3.6666666666666665
3,-0.3333333333333333,-2.74161106741457,4.333333333333333
4,-0.3333333333333333,-2.3319146384655025,4.666666666666667
3,-0.3333333333333333,-2.757549494450398,3.0
4,-0.3333333333333333,-2.1263460056852543,3.6666666666666665
1,-0.3333333333333333,-3.4171291379664814,3.6666666666666665
1,-0.3333333333333333,-2.759717224392315,2.6666666666666665
4,-0.3333333333333333,-2.456776831606184,3.6666666666666665
3,-0.3333333333333333,-2.544110220392995,3.3333333333333335
2,-0.3333333333333333,-3.1209616646004115,4.333333333333333
1,-0.3333333333333333,-2.637884995464543,6.333333333333333
2,-0.3333333333333333,-3.0589212301932664,4.333333333333333
3,-0.3333333333333333,-2.311977127034927,4.0
1,-0.3333333333333333,-3.2063307006676447,4.0
3,-0.3333333333333333,-2.9063190755583377,4.333333333333333
3,-0.3333333333333333,-2.4580564636140316,3.6666666666666665
2,-0.3333333333333333,-3.1664006913473095,5.0
4,-0.3333333333333333,-3.04558577714941,3.6666666666666665
3,-0.3333333333333333,-2.968219823048562,5.0
1,-0.3333333333333333,-3.1266617923297986,4.0
1,-0.3333333333333333,-2.2120220877143626,4.666666666666667
3,-0.3333333333333333,-2.9724625436221843,4.0
2,-0.3333333333333333,-2.339423972346964,3.0
4,-0.3333333333333333,-2.8638452476219753,4.333333333333333
3,-0.3333333333333333,-2.8719199483478755,3.6666666666666665
3,-0.3333333333333333,-2.6899111354721,4.666666666666667
1,-0.3333333333333333,-3.2587808316832407,4.333333333333333
2,-0.3333333333333333,-2.3576686829374043,3.6666666666666665
2,-0.3333333333333333,-2.532260185680164,3.3333333333333335
1,-0.3333333333333333,-2.8155505557647014,2.6666666666666665
2,-0.3333333333333333,-2.2665705446955973,3.6666666666666665
4,-0.3333333333333333,-3.6350210920748105,3.6666666666666665
2,-0.3333333333333333,-3.422370770606946,3.0
3,-0.3333333333333333,-2.3746197567646212,3.6666666666666665
4,-0.3333333333333333,-2.965035905420049,4.666666666666667
2,-0.3333333333333333,-2.565626903347406,4.666666666666667
3,-0.3333333333333333,-2.0744863021217053,3.3333333333333335
3,-0.3333333333333333,-2.593464347450901,4.333333333333333
2,-0.3333333333333333,-2.7087880182843627,5.0
1,-0.3333333333333333,-3.874972770877583,3.6666666666666665
3,-0.3333333333333333,-2.3121886074426867,3.0
4,-0.3333333333333333,-2.786725546323171,5.0
4,-0.3333333333333333,-1.8359640312457233,2.3333333333333335
2,-0.3333333333333333,-2.536802369206564,3.3333333333333335
3,-0.3333333333333333,-1.7300431165675698,2.3333333333333335
1,-0.3333333333333333,-2.6124565604750845,3.3333333333333335
